Java HotSpot(TM) 64-Bit Server VM (25.172-b11) for windows-amd64 JRE (1.8.0_172-b11), built on Mar 28 2018 21:21:52 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16596272k(8413488k free), swap 20790576k(8399212k free)
CommandLine flags: -XX:InitialHeapSize=265540352 -XX:MaxHeapSize=10737418240 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.139: [GC (Allocation Failure) [PSYoungGen: 65024K->576K(75776K)] 65024K->584K(249344K), 0.0013745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.168: [GC (Allocation Failure) [PSYoungGen: 65600K->528K(75776K)] 65608K->536K(249344K), 0.0009467 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.198: [GC (Allocation Failure) [PSYoungGen: 65552K->528K(75776K)] 65560K->544K(249344K), 0.0005112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.226: [GC (Allocation Failure) [PSYoungGen: 65552K->496K(140800K)] 65568K->512K(314368K), 0.0015941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.296: [GC (Allocation Failure) [PSYoungGen: 130544K->496K(140800K)] 130560K->512K(314368K), 0.0010837 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.351: [GC (Allocation Failure) [PSYoungGen: 130544K->528K(261120K)] 130560K->544K(434688K), 0.0007032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.490: [GC (Allocation Failure) [PSYoungGen: 260624K->0K(261120K)] 260640K->476K(434688K), 0.0012282 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.603: [GC (Allocation Failure) [PSYoungGen: 260096K->0K(521216K)] 260572K->476K(694784K), 0.0005419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.881: [GC (Allocation Failure) [PSYoungGen: 520192K->32K(521216K)] 520668K->508K(694784K), 0.0011913 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.093: [GC (Allocation Failure) [PSYoungGen: 520224K->480K(497664K)] 520700K->964K(671232K), 0.0008845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.303: [GC (Allocation Failure) [PSYoungGen: 497632K->0K(476672K)] 498116K->852K(650240K), 0.0007979 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.507: [GC (Allocation Failure) [PSYoungGen: 475648K->0K(455680K)] 476500K->852K(629248K), 0.0005935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.693: [GC (Allocation Failure) [PSYoungGen: 455168K->0K(436736K)] 456020K->852K(610304K), 0.0009847 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.874: [GC (Allocation Failure) [PSYoungGen: 435712K->0K(417280K)] 436564K->852K(590848K), 0.0005987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.048: [GC (Allocation Failure) [PSYoungGen: 416768K->32K(399872K)] 417620K->884K(573440K), 0.0007345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.221: [GC (Allocation Failure) [PSYoungGen: 398880K->32K(382464K)] 399732K->884K(556032K), 0.0007686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.383: [GC (Allocation Failure) [PSYoungGen: 381984K->0K(367104K)] 382836K->852K(540672K), 0.0008453 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.533: [GC (Allocation Failure) [PSYoungGen: 366080K->32K(351232K)] 366932K->884K(524800K), 0.0005540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.676: [GC (Allocation Failure) [PSYoungGen: 350752K->0K(337408K)] 351604K->852K(510976K), 0.0008334 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.812: [GC (Allocation Failure) [PSYoungGen: 336384K->0K(323072K)] 337236K->852K(496640K), 0.0005103 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.945: [GC (Allocation Failure) [PSYoungGen: 322560K->0K(310272K)] 323412K->852K(483840K), 0.0007714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.070: [GC (Allocation Failure) [PSYoungGen: 309248K->0K(297472K)] 310100K->852K(471040K), 0.0005084 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.191: [GC (Allocation Failure) [PSYoungGen: 296960K->0K(286208K)] 297812K->852K(459776K), 0.0008329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
